word	level	pinyin	gloss
一点儿	HSK1	yī diǎn r	erhua variant of 一點|一点[yi1 dian3]
衣服	HSK1	yī fu	clothes; CL:件[jian4],套[tao4]
医生	HSK1	yī shēng	doctor; CL:個|个[ge4],位[wei4],名[ming2]
一下	HSK1	yī xià	(after a verb) a bit; a little (indicating brief duration, or softening the tone, or suggesting giving sth...
一些	HSK1	yī xiē	some; a few; a little; (following an adjective) slightly ...er
医院	HSK1	yī yuàn	hospital; CL:所[suo3],家[jia1],座[zuo4]
椅子	HSK1	yǐ zi	chair; CL:把[ba3],張|张[zhang1]
有	HSK1	yǒu	to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)
有的	HSK1	yǒu de	(there are) some (who are...); some (exist)
有些	HSK1	yǒu xiē	some; somewhat; rather; a bit
有（一）点儿	HSK1	yǒu （ yī ） diǎn ér	
雨	HSK1	yù	(literary) to rain; (of rain, snow etc) to fall
元	HSK1	yuán	currency unit (esp. Chinese yuan); (bound form) first; original; primary
月	HSK1	yuè	moon; month
再	HSK1	zài	again; once more; re-; further; beyond this point of time
在	HSK1	zài	to exist; to be alive; (of sb or sth) to be (located) at
再见	HSK1	zài jiàn	goodbye
早	HSK1	zǎo	early; morning
早饭	HSK1	zǎo fàn	breakfast; CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]
早上	HSK1	zǎo shang	early morning; CL:個|个[ge4]
怎么	HSK1	zěn me	how?; what?
怎么样	HSK1	zěn me yàng	how?; how about?
找	HSK1	zhǎo	to try to find; to look for
这	HSK1	zhè	(pronoun) this; these; (bound form) this; the (followed by a noun)
这边	HSK1	zhè biān	this side; here
这个	HSK1	zhè ge	(pronoun) this; (adjective) this
这里	HSK1	zhè lǐ	variant of 這裡|这里[zhe4 li3]
真	HSK1	zhēn	really; truly
正在	HSK1	zhèng zài	to be in the process of (doing sth); to be currently ...-ing
这儿	HSK1	zhè r	here
这些	HSK1	zhè xiē	these
